月　　Ｍｏｏｎ　　2022年

月の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地平視差（Ｈ．Ｐ．）
         1月 0日－ 2月 1日 a=  0,b= 32        1月31日－ 3月 1日 a= 31,b= 60        2月28日－ 4月 1日 a= 59,b= 91
ＣN     R.A.       Dec.      H.P.            R.A.       Dec.      H.P.            R.A.       Dec.      H.P.      ＣN
 17     0.000102   0.00192   0.000000        0.000052  -0.00085   0.000000       -0.000523   0.00055  -0.000001   17
 18     0.000107  -0.00144   0.000000       -0.000049  -0.00010   0.000000       -0.000117  -0.00045   0.000001   18
 19    -0.000036  -0.00054   0.000000        0.000012   0.00026   0.000000        0.000067  -0.00092   0.000000   19
 20    -0.000074   0.00027   0.000000        0.000030   0.00006   0.000000        0.000048  -0.00026   0.000000   20
 21     0.000050   0.00013   0.000000       -0.000005  -0.00005   0.000000        0.000038   0.00027   0.000000   21
 22     0.000027   0.00001   0.000000       -0.000012   0.00000   0.000000        0.000015   0.00019   0.000000   22
 23    -0.000013  -0.00008   0.000000        0.000000   0.00002   0.000000       -0.000018   0.00001   0.000000   23
 24    -0.000007   0.00003   0.000000        0.000003  -0.00001   0.000000       -0.000018  -0.00003   0.000000   24
 25     0.000001   0.00004   0.000000       -0.000001  -0.00001   0.000000        0.000000  -0.00003   0.000000   25
 26     0.000004  -0.00002   0.000000       -0.000001   0.00000   0.000000        0.000006  -0.00002   0.000000   26
 27    -0.000001  -0.00001   0.000000        0.000001   0.00000   0.000000        0.000002   0.00000   0.000000   27
 28    -0.000002   0.00000   0.000000        0.000000   0.00000   0.000000        0.000000   0.00001   0.000000   28
 29     0.000001   0.00001   0.000000        0.000000   0.00000   0.000000        0.000000   0.00001   0.000000   29

月の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地平視差（Ｈ．Ｐ．）
         3月31日－ 5月 1日 a= 90,b=121        4月30日－ 6月 1日 a=120,b=152        5月31日－ 7月 1日 a=151,b=182
ＣN     R.A.       Dec.      H.P.            R.A.       Dec.      H.P.            R.A.       Dec.      H.P.      ＣN
  N      h          °        °              h          °        °              h          °        °         N
  0    13.104276   2.54054   0.945835       15.808612   9.13792   0.934605       18.574964  11.60041   0.930862    0
  1    13.652970  -5.86269   0.006849       14.138793  -2.29732   0.001848       13.763865  -0.06022  -0.001907    1
  2     0.241939   2.90707  -0.013357        0.046359  16.56376  -0.037904       -0.032659  22.94300  -0.049849    2
  3    -0.187997  20.67159  -0.033802       -0.276685  14.16442  -0.020789       -0.265034   0.17200   0.002651    3
  4    -0.165836  -0.90861   0.009492       -0.116867  -9.21327   0.023806        0.021459 -11.75597   0.028017    4
  5    -0.091051  -5.08301   0.010507        0.112203  -4.21424   0.006660        0.242232   0.03443  -0.002886    5
  6     0.067970  -0.58238  -0.003508        0.165982   1.68025  -0.008121       -0.011625   2.49999  -0.009002    6
  7     0.096779   0.70321  -0.002656       -0.038273   1.10838  -0.001920       -0.138415  -0.07245   0.001568    7
  8    -0.013342   0.40838   0.000678       -0.083714  -0.22900   0.002501        0.005296  -0.76819   0.002795    8
  9    -0.035533  -0.00405   0.000805        0.007478  -0.45671   0.000738        0.049728   0.05292  -0.000587    9
 10    -0.004779  -0.15048  -0.000018        0.029141  -0.00813  -0.000700       -0.002660   0.33016  -0.000825   10
 11     0.007123  -0.06573  -0.000239        0.003093   0.19526  -0.000283       -0.018968  -0.02773   0.000211   11
 12     0.005189   0.03452  -0.000035       -0.010341   0.03388   0.000196        0.001449  -0.13338   0.000245   12
 13     0.000772   0.03431   0.000062       -0.004630  -0.07139   0.000101        0.008910   0.01300  -0.000077   13
 14    -0.002345   0.00024   0.000018        0.003817  -0.02462  -0.000055       -0.000764   0.05238  -0.000074   14
 15    -0.001517  -0.01020  -0.000014        0.003152   0.02243  -0.000035       -0.004178  -0.00614   0.000028   15
 16     0.000517  -0.00477  -0.000007       -0.001204   0.01461   0.000015        0.000396  -0.02185   0.000022   16
 17     0.000793   0.00103   0.000003       -0.001658  -0.00580   0.000012        0.001901   0.00292  -0.000010   17
 18     0.000107   0.00260   0.000002        0.000201  -0.00765  -0.000004       -0.000208   0.00950  -0.000007   18
 19    -0.000238   0.00088   0.000000        0.000785   0.00081  -0.000004       -0.000886  -0.00139   0.000003   19
 20    -0.000163  -0.00073  -0.000001        0.000097   0.00354   0.000001        0.000110  -0.00417   0.000002   20
 21     0.000013  -0.00067   0.000000       -0.000346   0.00040   0.000001        0.000424   0.00067  -0.000001   21
 22     0.000083   0.00000   0.000000       -0.000129  -0.00146   0.000000       -0.000057   0.00185  -0.000001   22
 23     0.000034   0.00026   0.000000        0.000136  -0.00051   0.000000       -0.000204  -0.00032   0.000000   23
 24    -0.000023   0.00012   0.000000        0.000092   0.00054   0.000000        0.000030  -0.00083   0.000000   24
 25    -0.000024  -0.00005   0.000000       -0.000043   0.00036   0.000000        0.000100   0.00016   0.000000   25
 26    -0.000001  -0.00008   0.000000       -0.000052  -0.00017   0.000000       -0.000015   0.00037   0.000000   26
 27     0.000009  -0.00002   0.000000        0.000006  -0.00022   0.000000       -0.000053  -0.00009   0.000000   27
 28     0.000004   0.00003   0.000000        0.000023   0.00004   0.000000        0.000006  -0.00014   0.000000   28
 29    -0.000001   0.00003   0.000000        0.000006   0.00014   0.000000        0.000034   0.00006   0.000000   29


　　　　　　　　　　　　　　　コンピューター用天体位置計算式　　　　　　　　　　　　 7s

月　　Ｍｏｏｎ　　2022年

月の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地平視差（Ｈ．Ｐ．）
         6月30日－ 8月 1日 a=181,b=213        7月31日－ 9月 1日 a=212,b=244        8月31日－10月 1日 a=243,b=274
ＣN     R.A.       Dec.      H.P.            R.A.       Dec.      H.P.            R.A.       Dec.      H.P.      ＣN
  N      h          °        °              h          °        °              h          °        °         N
  0    21.341574   9.39132   0.933493        0.462695   1.64393   0.945318        3.215452  -5.74994   0.957999    0
  1    14.148724   2.19554  -0.005688       14.065019   3.19141  -0.007467       13.613640   4.00285  -0.008111    1
  2    -0.104421  16.60140  -0.040802       -0.324003   0.11299  -0.014493       -0.410675 -16.35541   0.014227    2
  3    -0.281338 -13.91429   0.025596       -0.199655 -21.49306   0.040344        0.090648 -16.08417   0.033071    3
  4     0.154677  -9.25210   0.023078        0.197449   0.40262   0.004929        0.102309   8.12970  -0.011139    4
  5     0.103208   4.29416  -0.012005       -0.115324   5.64478  -0.015627       -0.065336   2.62783  -0.010783    5
  6    -0.190219   1.62162  -0.006229       -0.057682  -0.99451   0.001154        0.122080  -1.46998   0.004059    6
  7    -0.031110  -1.20965   0.004869        0.126152  -0.68338   0.004521        0.016186   0.32477   0.001844    7
  8     0.093669  -0.12761   0.001404        0.001652   0.56598  -0.001300       -0.057122   0.07707  -0.001216    8
  9     0.002534   0.51452  -0.001711       -0.046330  -0.11959  -0.000932        0.009311  -0.12684   0.000067    9
 10    -0.031991  -0.08459  -0.000180        0.011715  -0.18451   0.000634        0.008395   0.09637   0.000276   10
 11     0.006620  -0.21667   0.000559        0.007704   0.14530   0.000080       -0.004202  -0.01447  -0.000154   11
 12     0.010782   0.07396  -0.000033       -0.007735   0.02481  -0.000222        0.001745  -0.03551  -0.000033   12
 13    -0.006807   0.07413  -0.000175        0.002723  -0.06338   0.000038       -0.001190   0.01897   0.000052   13
 14    -0.003579  -0.04310   0.000038        0.002582   0.01391   0.000058       -0.000902   0.00154  -0.000007   14
 15     0.004254  -0.01945   0.000051       -0.002936   0.01490  -0.000027        0.001325  -0.00409  -0.000010   15
 16     0.000842   0.02264  -0.000020       -0.000070  -0.01191  -0.000010       -0.000150   0.00187   0.000006   16
 17    -0.002125   0.00255  -0.000014        0.001298   0.00103   0.000011       -0.000372  -0.00109   0.000001   17
 18     0.000106  -0.01079   0.000009       -0.000498   0.00462   0.000000        0.000180  -0.00002  -0.000002   18
 19     0.000946   0.00141   0.000003       -0.000257  -0.00296  -0.000003       -0.000022   0.00078   0.000000   19
 20    -0.000304   0.00454  -0.000003        0.000341  -0.00066   0.000001       -0.000012  -0.00042   0.000000   20
 21    -0.000379  -0.00167  -0.000001       -0.000090   0.00156   0.000001        0.000041  -0.00008   0.000000   21
 22     0.000248  -0.00164   0.000001       -0.000118  -0.00044  -0.000001       -0.000034   0.00015   0.000000   22
 23     0.000125   0.00115   0.000000        0.000109  -0.00041   0.000000       -0.000003  -0.00006   0.000000   23
 24    -0.000152   0.00047   0.000000        0.000004   0.00039   0.000000        0.000016   0.00001   0.000000   24
 25    -0.000021  -0.00065   0.000000       -0.000051  -0.00003   0.000000       -0.000007   0.00002   0.000000   25
 26     0.000079  -0.00008   0.000000        0.000024  -0.00016   0.000000       -0.000001  -0.00003   0.000000   26
 27    -0.000015   0.00033   0.000000        0.000009   0.00010   0.000000        0.000002   0.00001   0.000000   27
 28    -0.000032  -0.00001   0.000000       -0.000016   0.00004   0.000000       -0.000002   0.00001   0.000000   28
 29     0.000024  -0.00019   0.000000        0.000008  -0.00007   0.000000        0.000001  -0.00001   0.000000   29

月の視赤経（Ｒ．Ａ．），視赤緯（Ｄｅｃ．），地平視差（Ｈ．Ｐ．）
         9月30日－11月 1日 a=273,b=305       10月31日－12月 1日 a=304,b=335       11月30日－12月32日 a=334,b=366
ＣN     R.A.       Dec.      H.P.            R.A.       Dec.      H.P.            R.A.       Dec.      H.P.      ＣN
  N      h          °        °              h          °        °              h          °        °         N
  0     6.152989  -9.93517   0.966434        9.134129  -7.15638   0.965699       11.951037  -0.02987   0.956763    0
  1    14.104516   0.17663   0.000289       13.574279  -3.21973   0.008604       14.001907  -3.00083   0.010768    1
  2    -0.092241 -24.01215   0.031950        0.316009 -19.73965   0.033036        0.398539  -3.71391   0.012319    2
  3     0.367822  -2.17958   0.009941        0.269078  13.41822  -0.018938        0.025109  21.79335  -0.041841    3
  4     0.058220  12.53554  -0.021951       -0.004158   9.31961  -0.021989       -0.162125   2.65576  -0.014371    4
  5     0.064507   0.19982  -0.005527       -0.047926  -1.84714   0.000544       -0.206419  -4.86991   0.008576    5
  6     0.011191  -0.88335   0.005172       -0.164997  -0.89611   0.005769       -0.033664  -1.33204   0.007971    6
  7    -0.107192   0.24121   0.001449       -0.019326  -0.31694   0.001622        0.139600  -0.04385   0.000536    7
  8    -0.004786  -0.15929  -0.000634        0.053696  -0.25132  -0.000571        0.042231   0.32757  -0.002131    8
  9     0.021178  -0.06741   0.000023        0.013362  -0.03536  -0.000422       -0.029983   0.39472  -0.000877    9
 10    -0.002863  -0.05380  -0.000049       -0.001041   0.13460  -0.000197       -0.018541   0.06107   0.000107   10
 11    -0.000581   0.00112  -0.000122        0.000970   0.07814   0.000006       -0.005483  -0.16567   0.000310   11
 12     0.000841   0.03386   0.000037       -0.001497  -0.01410   0.000080        0.001913  -0.08013   0.000127   12
 13     0.001826  -0.00126   0.000033       -0.003634  -0.01749   0.000027        0.006767   0.01992  -0.000040   13
 14     0.000253  -0.00381  -0.000007       -0.000749  -0.00494  -0.000007        0.002790   0.03015  -0.000055   14
 15    -0.001167   0.00149  -0.000002        0.001207  -0.00331  -0.000008       -0.002225   0.01410  -0.000013   15
 16    -0.000011   0.00079   0.000001        0.000525  -0.00089  -0.000003       -0.001956  -0.00166   0.000010   16
 17     0.000240  -0.00007  -0.000001       -0.000004   0.00231   0.000000       -0.000142  -0.00905   0.000008   17
 18    -0.000066  -0.00098   0.000000        0.000025   0.00173   0.000001        0.000517  -0.00442   0.000001   18
 19    -0.000050  -0.00006   0.000001       -0.000042  -0.00011   0.000000        0.000472   0.00182  -0.000002   19
 20     0.000010   0.00035   0.000000       -0.000114  -0.00042   0.000000        0.000119   0.00254  -0.000001   20
 21     0.000040  -0.00006   0.000000       -0.000034  -0.00014   0.000000       -0.000198   0.00069   0.000000   21
 22     0.000004  -0.00006   0.000000        0.000035  -0.00009   0.000000       -0.000173  -0.00049   0.000000   22
 23    -0.000018   0.00003   0.000000        0.000021  -0.00004   0.000000        0.000002  -0.00064   0.000000   23
 24     0.000001   0.00003   0.000000        0.000002   0.00006   0.000000        0.000069  -0.00022   0.000000   24
 25     0.000005   0.00000   0.000000        0.000001   0.00005   0.000000        0.000040   0.00018   0.000000   25
 26    -0.000001  -0.00001   0.000000       -0.000001   0.00000   0.000000       -0.000001   0.00021   0.000000   26
 27    -0.000002   0.00000   0.000000       -0.000004  -0.00001   0.000000       -0.000019   0.00003   0.000000   27
 28     0.000000   0.00000   0.000000       -0.000002  -0.00001   0.000000       -0.000013  -0.00008   0.000000   28
 29     0.000001   0.00000   0.000000        0.000001   0.00000   0.000000       -0.000001  -0.00007   0.000000   29
